episode,task_id,total_reward,final_score,enrolled,steps
0,easy_bench,-0.005199999999999996,0.1392,0,11
1,medium_bench,0.3586000000000001,0.2174,0,15
2,hard_bench,-0.07840000000000001,0.1636,0,2
3,easy_bench,0.7273000000000001,0.341,0,8
4,medium_bench,-0.006299999999999986,0.2111,0,3
5,hard_bench,-0.07919999999999999,0.1976,0,2
6,easy_bench,-0.04850000000000001,0.1397,0,3
7,medium_bench,-0.011799999999999991,0.207,0,7
8,hard_bench,-0.0257,0.1646,0,3
9,easy_bench,-0.0912,0.1397,0,1
10,medium_bench,0.004300000000000012,0.1661,0,4
11,hard_bench,-0.07840000000000001,0.1636,0,2
12,easy_bench,-0.04850000000000001,0.1397,0,3
13,medium_bench,0.004500000000000004,0.1661,0,4
14,hard_bench,-0.08209999999999999,0.1646,0,3
15,easy_bench,0.9461999999999999,0.3405,0,13
16,medium_bench,0.24280000000000007,0.2086,0,24
17,hard_bench,-0.09849999999999999,0.1645,0,4
18,easy_bench,0.727,0.3416,0,6
19,medium_bench,0.40079999999999993,0.2087,0,8
20,hard_bench,-0.1549,0.1725,0,4
21,easy_bench,-0.0912,0.1397,0,1
22,medium_bench,-0.049500000000000016,0.2088,0,6
23,hard_bench,-0.1215,0.1722,0,6
24,easy_bench,1.1015000000000004,0.3497,0,22
25,medium_bench,-0.04850000000000001,0.2111,0,3
26,hard_bench,-0.1312,0.1626,0,1
27,easy_bench,-0.11180000000000001,0.1396,0,3
28,medium_bench,-0.0464,0.207,0,8
29,hard_bench,0.12939999999999996,0.2721,0,16
30,easy_bench,0.3141,0.3448,0,14
31,medium_bench,0.4110999999999999,0.2238,0,15
32,hard_bench,-0.1454,0.1645,0,3
33,easy_bench,-0.0912,0.1397,0,1
34,medium_bench,-0.059000000000000004,0.1662,0,2
35,hard_bench,0.332,0.2718,0,20
36,easy_bench,-0.0912,0.1397,0,1
37,medium_bench,-0.05830000000000001,0.166,0,4
38,hard_bench,-0.09849999999999999,0.1645,0,4
39,easy_bench,0.4821,0.3499,0,14
40,medium_bench,-0.03830000000000001,0.1662,0,2
41,hard_bench,-0.08209999999999999,0.1646,0,3
42,easy_bench,0.01570000000000002,0.1395,0,7
43,medium_bench,-0.059000000000000004,0.166,0,4
44,hard_bench,-0.0459,0.1645,0,5
45,easy_bench,-0.03830000000000001,0.1397,0,2
46,medium_bench,0.1825,0.2231,0,17
47,hard_bench,-0.1312,0.1626,0,1
48,easy_bench,0.037099999999999994,0.1395,0,7
49,medium_bench,-0.08020000000000001,0.2069,0,8
