episode,task_id,total_reward,final_score,enrolled,steps
0,easy_bench,0.006200000000000011,0.1394,0,8
1,medium_bench,0.4017,0.2366,0,12
2,hard_bench,0.16859999999999992,0.2093,0,15
3,easy_bench,1.8813,0.3615,0,14
4,medium_bench,0.3539,0.2138,0,4
5,hard_bench,0.22870000000000007,0.1982,0,8
6,easy_bench,0.4923,0.3498,0,15
7,medium_bench,0.4072,0.2117,0,11
8,hard_bench,-0.03960000000000002,0.1725,0,5
9,easy_bench,2.3464,0.3412,0,21
10,medium_bench,0.24909999999999988,0.2605,0,20
11,hard_bench,-0.1348,0.1636,0,2
12,easy_bench,0.13189999999999996,0.1394,0,10
13,medium_bench,0.6035000000000001,0.2093,0,24
14,hard_bench,0.3874000000000001,0.275,0,36
15,easy_bench,1.4915,0.3407,0,20
16,medium_bench,-0.018100000000000005,0.2575,0,8
17,hard_bench,-0.13540000000000002,0.1716,0,2
18,easy_bench,1.3984999999999996,0.3404,0,23
19,medium_bench,-0.20189999999999997,0.1653,0,11
20,hard_bench,-0.1487,0.2305,0,12
21,easy_bench,-0.1201,0.1394,0,8
22,medium_bench,-0.08080000000000001,0.2101,0,17
23,hard_bench,-0.1348,0.1636,0,2
24,easy_bench,0.10969999999999998,0.1394,0,8
25,medium_bench,0.31479999999999997,0.1668,0,17
26,hard_bench,-0.1424,0.1638,0,9
27,easy_bench,-0.0912,0.1397,0,1
28,medium_bench,-0.0912,0.1662,0,1
29,hard_bench,-0.18009999999999998,0.171,0,15
