episode,task_id,total_reward,final_score,enrolled,steps
0,easy_bench,-0.006199999999999997,0.1397,0,3
1,medium_bench,-0.1012,0.1661,0,2
2,hard_bench,1.6439,0.2758,0,26
3,easy_bench,-0.0912,0.1397,0,1
4,medium_bench,1.135,0.2125,0,15
5,hard_bench,-0.1312,0.1626,0,1
6,easy_bench,-0.059000000000000004,0.1397,0,2
7,medium_bench,-0.0912,0.1662,0,1
8,hard_bench,0.20040000000000002,0.2316,0,9
9,easy_bench,2.049,0.348,0,34
10,medium_bench,0.6637000000000001,0.1711,0,4
11,hard_bench,0.7287999999999999,0.2733,0,20
12,easy_bench,0.004799999999999999,0.1394,0,8
13,medium_bench,1.0836,0.235,0,28
14,hard_bench,1.5368000000000002,0.2794,0,28
15,easy_bench,0.09,0.1394,0,10
16,medium_bench,1.1710000000000003,0.2478,0,30
17,hard_bench,-0.1312,0.1626,0,1
18,easy_bench,0.4282,0.3406,0,7
19,medium_bench,0.8541,0.1678,0,12
20,hard_bench,0.2262,0.2649,0,10
21,easy_bench,0.4912000000000001,0.3401,0,9
22,medium_bench,0.7564,0.2119,0,13
23,hard_bench,0.467,0.1666,0,7
24,easy_bench,0.583,0.3434,0,12
25,medium_bench,-0.0912,0.1662,0,1
26,hard_bench,0.1362,0.2658,0,7
27,easy_bench,-0.0912,0.1397,0,1
28,medium_bench,0.5044,0.2101,0,23
29,hard_bench,-0.0471,0.1644,0,5
30,easy_bench,-0.047300000000000016,0.1395,0,7
31,medium_bench,-0.038400000000000004,0.2112,0,2
32,hard_bench,0.07709999999999997,0.2309,0,7
33,easy_bench,-0.04850000000000001,0.1397,0,3
34,medium_bench,0.0464,0.1661,0,4
35,hard_bench,0.40019999999999994,0.271,0,24
36,easy_bench,0.34429999999999994,0.3417,0,3
37,medium_bench,-0.10969999999999999,0.207,0,5
38,hard_bench,0.027300000000000005,0.1646,0,4
39,easy_bench,0.8404000000000001,0.3415,0,7
40,medium_bench,0.2914,0.1712,0,2
41,hard_bench,0.7825,0.2768,0,22
42,easy_bench,-0.0912,0.1397,0,1
43,medium_bench,0.30960000000000004,0.2081,0,18
44,hard_bench,2.5597000000000003,0.2721,0,34
45,easy_bench,0.42800000000000005,0.3404,0,7
46,medium_bench,0.5781999999999998,0.2227,0,49
47,hard_bench,0.0943,0.2658,0,7
48,easy_bench,-0.0576,0.1395,0,6
49,medium_bench,-0.1012,0.1661,0,2
