episode,task_id,total_reward,final_score,enrolled,steps
0,easy_bench,1.2305999999999997,0.3561,0,13
1,medium_bench,1.6471,0.2182,0,62
2,hard_bench,0.30469999999999997,0.1993,0,8
3,easy_bench,-0.038400000000000004,0.1395,0,6
4,medium_bench,1.1860999999999995,0.2163,0,52
5,hard_bench,-0.3355,0.2059,0,22
6,easy_bench,-0.0912,0.1397,0,1
7,medium_bench,1.2023,0.2182,0,26
8,hard_bench,0.2029999999999999,0.2085,0,22
9,easy_bench,1.1933,0.341,0,31
10,medium_bench,-0.1017,0.1661,0,2
11,hard_bench,-0.23220000000000002,0.1758,0,13
12,easy_bench,0.3957,0.3454,0,8
13,medium_bench,-0.04850000000000001,0.2111,0,3
14,hard_bench,-0.23560000000000006,0.1742,0,18
15,easy_bench,-0.059000000000000004,0.1397,0,2
16,medium_bench,-0.0912,0.1662,0,1
17,hard_bench,-0.263,0.2291,0,16
18,easy_bench,0.49950000000000006,0.3397,0,12
19,medium_bench,-0.0741,0.2069,0,8
20,hard_bench,0.706,0.2404,0,49
21,easy_bench,0.031500000000000014,0.1385,0,23
22,medium_bench,-0.0595,0.2102,0,12
23,hard_bench,-0.3287,0.2058,0,21
24,easy_bench,0.5216000000000001,0.3452,0,10
25,medium_bench,-0.0377,0.166,0,4
26,hard_bench,-0.3385,0.1743,0,16
27,easy_bench,-0.10039999999999999,0.1393,0,8
28,medium_bench,1.7600000000000007,0.216,0,64
29,hard_bench,-0.04919999999999999,0.2074,0,18
30,easy_bench,0.5820000000000001,0.3409,0,22
31,medium_bench,0.23789999999999997,0.2074,0,49
32,hard_bench,-0.9698,0.2368,0,60
33,easy_bench,0.31079999999999997,0.3428,0,8
34,medium_bench,-0.09430000000000001,0.2099,0,15
35,hard_bench,-0.3259,0.1739,0,20
36,easy_bench,-0.0912,0.1397,0,1
37,medium_bench,0.35559999999999997,0.2358,0,6
38,hard_bench,-0.2522,0.17,0,19
39,easy_bench,0.41700000000000004,0.3452,0,10
40,medium_bench,-0.41329999999999995,0.1624,0,28
41,hard_bench,-0.1552,0.1715,0,9
42,easy_bench,0.0801,0.1377,0,37
43,medium_bench,-0.1005,0.2114,0,20
44,hard_bench,-0.5467000000000002,0.201,0,76
45,easy_bench,-0.14400000000000002,0.1391,0,10
46,medium_bench,0.0175,0.2098,0,17
47,hard_bench,0.04419999999999999,0.1716,0,18
48,easy_bench,-0.0912,0.1397,0,1
49,medium_bench,-0.1017,0.1661,0,2
